id,issue_id,assignment_id,escalation_type,escalated_to_role,escalated_by_user_id,reason,total_missed_calls,time_elapsed_without_response,notification_sent,notification_sent_at,resolved,resolved_at,created_at,updated_at
1,7,6,NO_RESPONSE,supervisor,,Solver 'Suresh Pillai' missed 4 call(s) (threshold: 4),4,32:00:00,true,2024-10-04 21:15:09.000000+00,false,,2024-10-04 21:15:09.000000+00,2024-10-04 21:15:09.000000+00
2,40,34,NO_RESPONSE,manager,,Solver 'Suresh Pillai' missed 3 call(s) (threshold: 3),3,06:00:00,true,2025-03-09 23:46:14.000000+00,false,,2025-03-09 23:46:14.000000+00,2025-03-09 23:46:14.000000+00
3,43,37,NO_RESPONSE,manager,,Solver 'Kavitha Subramanian' missed 4 call(s) (threshold: 4),4,08:00:00,true,2025-05-03 02:24:22.000000+00,false,,2025-05-03 02:24:22.000000+00,2025-05-03 02:24:22.000000+00
4,46,40,NO_RESPONSE,manager,,Solver 'Kavitha Subramanian' missed 4 call(s) (threshold: 4),4,08:00:00,true,2022-02-16 03:07:42.000000+00,false,,2022-02-16 03:07:42.000000+00,2022-02-16 03:07:42.000000+00
5,48,43,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 4 call(s) (threshold: 4),4,16:00:00,true,2022-10-29 00:58:21.000000+00,false,,2022-10-29 00:58:21.000000+00,2022-10-29 00:58:21.000000+00
6,58,53,NO_RESPONSE,supervisor,,Solver 'Vijay Moorthy' missed 3 call(s) (threshold: 3),3,24:00:00,true,2025-09-05 17:02:52.000000+00,false,,2025-09-05 17:02:52.000000+00,2025-09-05 17:02:52.000000+00
7,65,61,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 5 call(s) (threshold: 5),5,20:00:00,true,2025-06-09 05:23:48.000000+00,false,,2025-06-09 05:23:48.000000+00,2025-06-09 05:23:48.000000+00
8,71,66,NO_RESPONSE,supervisor,,Solver 'Ramesh Krishnan' missed 4 call(s) (threshold: 4),4,32:00:00,true,2024-09-01 00:51:48.000000+00,false,,2024-09-01 00:51:48.000000+00,2024-09-01 00:51:48.000000+00
9,77,72,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 3 call(s) (threshold: 3),3,24:00:00,true,2023-08-06 11:59:33.000000+00,false,,2023-08-06 11:59:33.000000+00,2023-08-06 11:59:33.000000+00
10,88,82,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 4 call(s) (threshold: 4),4,16:00:00,true,2023-07-05 07:39:33.000000+00,false,,2023-07-05 07:39:33.000000+00,2023-07-05 07:39:33.000000+00
11,98,91,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 4 call(s) (threshold: 4),4,16:00:00,true,2025-06-23 03:12:53.000000+00,false,,2025-06-23 03:12:53.000000+00,2025-06-23 03:12:53.000000+00
12,101,94,NO_RESPONSE,supervisor,,Solver 'Vijay Moorthy' missed 5 call(s) (threshold: 5),5,40:00:00,true,2023-12-25 06:35:40.000000+00,false,,2023-12-25 06:35:40.000000+00,2023-12-25 06:35:40.000000+00
13,105,98,NO_RESPONSE,manager,,Solver 'Kavitha Subramanian' missed 4 call(s) (threshold: 4),4,08:00:00,true,2023-10-03 07:14:47.000000+00,false,,2023-10-03 07:14:47.000000+00,2023-10-03 07:14:47.000000+00
14,106,99,NO_RESPONSE,supervisor,,Solver 'Vijay Moorthy' missed 5 call(s) (threshold: 5),5,20:00:00,true,2024-05-06 07:20:41.000000+00,false,,2024-05-06 07:20:41.000000+00,2024-05-06 07:20:41.000000+00
15,110,103,NO_RESPONSE,supervisor,,Solver 'Mohan Thilak' missed 5 call(s) (threshold: 5),5,20:00:00,true,2025-03-27 12:46:07.000000+00,false,,2025-03-27 12:46:07.000000+00,2025-03-27 12:46:07.000000+00
16,116,109,NO_RESPONSE,manager,,Solver 'Ramesh Krishnan' missed 3 call(s) (threshold: 3),3,06:00:00,true,2023-06-25 16:19:12.000000+00,false,,2023-06-25 16:19:12.000000+00,2023-06-25 16:19:12.000000+00
17,125,117,NO_RESPONSE,supervisor,,Solver 'Suresh Pillai' missed 5 call(s) (threshold: 5),5,20:00:00,true,2023-06-22 14:31:52.000000+00,false,,2023-06-22 14:31:52.000000+00,2023-06-22 14:31:52.000000+00
18,129,121,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 4 call(s) (threshold: 4),4,16:00:00,true,2023-03-15 02:21:20.000000+00,false,,2023-03-15 02:21:20.000000+00,2023-03-15 02:21:20.000000+00
19,134,125,NO_RESPONSE,supervisor,,Solver 'Suresh Pillai' missed 4 call(s) (threshold: 4),4,16:00:00,true,2023-10-22 09:00:33.000000+00,false,,2023-10-22 09:00:33.000000+00,2023-10-22 09:00:33.000000+00
20,145,136,NO_RESPONSE,supervisor,,Solver 'Suresh Pillai' missed 5 call(s) (threshold: 5),5,40:00:00,true,2024-02-07 11:04:12.000000+00,false,,2024-02-07 11:04:12.000000+00,2024-02-07 11:04:12.000000+00
21,158,147,NO_RESPONSE,supervisor,,Solver 'Vijay Moorthy' missed 5 call(s) (threshold: 5),5,40:00:00,true,2025-01-15 02:50:37.000000+00,false,,2025-01-15 02:50:37.000000+00,2025-01-15 02:50:37.000000+00
22,171,158,NO_RESPONSE,supervisor,,Solver 'Mohan Thilak' missed 3 call(s) (threshold: 3),3,24:00:00,true,2023-02-26 10:50:14.000000+00,false,,2023-02-26 10:50:14.000000+00,2023-02-26 10:50:14.000000+00
23,181,168,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 3 call(s) (threshold: 3),3,12:00:00,true,2025-05-01 03:56:24.000000+00,false,,2025-05-01 03:56:24.000000+00,2025-05-01 03:56:24.000000+00
24,182,169,NO_RESPONSE,supervisor,,Solver 'Mohan Thilak' missed 4 call(s) (threshold: 4),4,16:00:00,true,2023-09-09 10:38:22.000000+00,false,,2023-09-09 10:38:22.000000+00,2023-09-09 10:38:22.000000+00
25,192,179,NO_RESPONSE,supervisor,,Solver 'Kavitha Subramanian' missed 3 call(s) (threshold: 3),3,24:00:00,true,2023-11-28 17:39:48.000000+00,false,,2023-11-28 17:39:48.000000+00,2023-11-28 17:39:48.000000+00
