"id","name","phone","email","role","is_active","created_at","updated_at","password_hash"
"1","Priya Sharma","9100000001","priya.sharma@facility.com","SUPERVISOR","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$RSK7uGkzu.Ai21VXAw/l/eWJDWbr1BEWWQAvuiQcOeixQYvKy9xCq"
"2","Anil Kumar","9100000002","anil.kumar@facility.com","SUPERVISOR","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$/jakr3tq6tqKeArFxh5yMOgRgBg3RWkFpPRQyMmF14ueVWLv4Qh5W"
"3","Geetha Rajan","9100000003","geetha.rajan@facility.com","SUPERVISOR","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$Nao5Sqf0wAQJUVrRDt02qeaazEdsaWkLo0nABOJeaucrtevyGT36C"
"4","Rajesh Menon","9100000004","rajesh.menon@facility.com","MANAGER","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$bxsbShoW4oJkzdx.3W6ZT.iRjPo4zrIOlm/QKlUeh5LEYhUzUquRm"
"5","Lakshmi Narayanan","9100000005","lakshmi.n@facility.com","MANAGER","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$1g5oz7NZdZUUhayN0/I0MOhuF/kmVw0hCTuyCqWPAY9CGxcqt0odm"
"6","Ramesh Krishnan","9100000006","ramesh.k@facility.com","PROBLEMSOLVER","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$c161Yon/fAlFTE7jgVsvv.E3OS2R2gfsG2I6Hyuzi/mxq742QngV2"
"7","Suresh Pillai","9100000007","suresh.p@facility.com","PROBLEMSOLVER","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$M5iTkNg/ppOitUZmbpuDBetjuRuxPGrXe5LrE4cjFKtPIU1rpNtmu"
"8","Mohan Thilak","9100000008","mohan.t@facility.com","PROBLEMSOLVER","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$Ms8LYinkNe/4S1TJUDLPVOSksqSma2NyyMmzaGHhWIRJSecbsV2nO"
"9","Kavitha Subramanian","9100000009","kavitha.s@facility.com","PROBLEMSOLVER","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$tCQDLcyoF/JA5dYEvGfMrOIq43onyuF16GiibrHB8oho.7m.fWTG."
"10","Vijay Moorthy","9100000010","vijay.m@facility.com","PROBLEMSOLVER","true","2026-02-20 10:25:13.783557+00","2026-03-10 09:15:41.082963+00","$2b$12$Zubahd0.H.y0E1lCgS/aCuaL6ZOTt6fGtOEpjgoJo.YQYqLbBXl6."
